
2023/03/20 (17:47:10) | ===> btop++ v.1.2.13
2023/03/20 (17:47:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/20 (19:19:11) | ===> btop++ v.1.2.13
2023/03/20 (19:19:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/20 (19:26:16) | ===> btop++ v.1.2.13
2023/03/20 (19:26:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/22 (17:53:44) | ===> btop++ v.1.2.13
2023/03/22 (17:53:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/22 (17:55:29) | ===> btop++ v.1.2.13
2023/03/22 (17:55:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/26 (17:39:06) | ===> btop++ v.1.2.13
2023/03/26 (17:39:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/26 (21:37:35) | ===> btop++ v.1.2.13
2023/03/26 (21:37:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
